STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/1/22,10.29,0,0,0,24,36,18,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/2/22,16.78,0,0,0,40,53,36,25.9,42.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/3/22,13.42,0,0,0,37,51,21,28,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/4/22,11.18,0,0,0,27,40,19,17,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/5/22,7.38,0,0,0,35,44,29,15,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/6/22,6.04,0,0,0,41,43,36,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/7/22,5.82,0,0,0,39,43,34,14.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/8/22,8.5,0,0,0,36,41,30,16.1,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/9/22,11.41,0.46,0.2,0,37,38,34,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/10/22,5.59,0.02,0,0,38,40,37,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/11/22,5.37,0,0,0,38,40,36,8.9,13
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/12/22,7.61,0,0,0,38,42,35,16.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/13/22,14.76,0.01,0,0,37,38,35,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/14/22,13.42,1.38,0,0,39,44,37,25.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/15/22,12.08,0.18,0.4,0,37,38,31,21,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/16/22,13.65,0.02,1.3,0,30,31,26,21.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/17/22,14.32,0,0,1.2,25,26,21,21.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/18/22,12.08,0,0,0,19,21,14,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/19/22,4.03,0,0,0,16,26,10,12.1,14.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/20/22,6.49,0,0,0,27,33,18,13,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/21/22,5.37,0,0,0,20,32,11,13,17
