STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/1/24,8.28,0,0,0,21,27,14,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/2/24,5.82,0,0,0,19,25,14,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/3/24,10.96,0,0,0,21,31,19,21,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/4/24,18.34,0,0.2,0,29,39,16,35.1,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/5/24,13.42,0,0,0,20,29,12,25.9,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/6/24,9.62,0,0,0,22,32,15,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/7/24,13.42,0,0,0,33,50,24,23.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/8/24,9.62,0,0,0,46,55,38,16.1,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/9/24,10.74,0,0,0,49,53,42,18.1,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/10/24,9.62,0,0,0,38,42,30,17,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/11/24,13.87,0,0,0,29,32,11,29.1,40.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/12/24,10.51,0,0,0,11,15,4,23.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/13/24,7.83,0,0,0,15,27,4,14.1,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/14/24,11.63,0.33,0,0,30,39,25,18.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/15/24,5.82,0.05,0,0,40,45,38,13,18.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/16/24,10.96,0.03,0,0,45,51,37,23,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/17/24,8.05,0,0,0,37,39,33,17,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/18/24,9.62,0,0,0,33,35,25,17,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/19/24,8.05,0.09,0.5,0,28,33,25,18.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/20/24,14.09,0.08,1.7,2,32,35,21,25.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/21/24,5.82,0,0,2,22,27,14,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/22/24,8.72,0,0,1.2,22,33,14,21.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/23/24,10.29,0,0,1.2,35,39,32,21,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/24/24,8.05,0,0,0,36,38,30,17,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/25/24,6.26,0,0,0,35,39,32,12.1,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/26/24,6.71,0.05,0,0,41,48,38,15,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/27/24,9.17,0.26,0,0,47,52,45,23.9,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/28/24,10.51,0,0,0,50,51,42,23.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/29/24,10.51,0.47,0,0,44,46,36,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/30/24,4.92,0,0,0,37,42,32,14.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/31/24,15.21,0.57,0,0,39,42,34,25.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/25,13.2,0,0,0,31,34,24,21.9,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/25,9.17,0.01,0.1,0,27,32,24,16.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/25,11.86,0,0.2,0,24,25,18,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/25,9.4,0,0,0,18,25,12,15,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/25,9.17,0,0,0,18,22,15,18.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/25,14.99,0.01,0.1,0,24,30,21,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/25,6.71,0,0,0,22,26,15,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/25,5.82,0,0,0,20,26,14,13,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/25,8.28,0,0,0,20,29,14,18.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/25,7.83,0.13,2.2,0,25,30,21,14.1,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/25,8.95,0,0,2,28,32,26,17,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/25,13.87,0.03,0.3,1,30,35,19,25.9,35.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/25,12.75,0,0,1,17,19,9,19.9,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/25,9.17,0.01,0.7,1,14,16,8,21.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/25,9.62,0,0.1,1,11,19,5,21,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/25,10.51,0.01,0.2,1,26,38,18,18.1,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/25,13.2,0,0,0,35,47,26,30,44.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/25,13.42,0,0,0,34,40,14,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/25,12.75,0,0,0,12,14,1,21,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/25,11.86,0,0,0,4,11,-2,23.9,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/21/25,12.53,0,0,0,-1,2,-8,21.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/22/25,12.97,0.02,0.4,0,8,25,0,23,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/23/25,10.07,0.01,0.3,1,20,24,7,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/24/25,8.72,0,0,0,11,23,2,19.9,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/25/25,14.32,0,0,0,27,41,21,25.9,42.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/26/25,8.05,0,0,0,26,31,17,15,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/27/25,14.99,0,0,0,27,44,18,29.1,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/28/25,13.65,0,0,0,38,48,28,30,42.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/29/25,10.96,0,0,0,42,47,33,21,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/25,7.38,0.51,0,0,38,50,26,21.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/25,16.33,1.24,0,0,39,40,33,36,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/25,13.87,0,0,0,32,33,29,21,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/25,7.61,0,0,0,36,43,31,18.1,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/25,10.96,0,0,0,40,42,33,25.1,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/25,13.87,0,0,0,29,33,22,23.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/25,11.86,0.05,0,0,26,31,24,18.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/25,12.97,0,0,0,31,37,27,25.9,42.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/25,6.49,0,0,0,26,32,19,21.9,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/25,9.17,0.01,0.1,0,30,33,27,15,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/25,7.83,0,0,0,28,32,22,16.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/25,4.7,0,0,0,25,37,17,10.1,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/25,13.87,0,0.1,0,25,28,21,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/25,11.86,0.18,2.8,0,24,29,19,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/25,12.75,0,0.1,3.1,20,26,5,21,29.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/25,9.17,0.15,1.8,2,12,26,3,18.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/25,8.72,0.02,0,3.1,29,33,26,23,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/25,15.21,0,0,3.1,27,27,9,21,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/17/25,11.63,0,0,3.1,8,9,0,19.9,27.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/18/25,8.95,0,0,3.1,3,14,-5,16.1,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/19/25,8.95,0,0,2,9,17,4,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/20/25,9.62,0,0,2,12,24,4,17,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/21/25,7.61,0,0,2,18,28,11,15,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/22/25,11.18,0,0,2,23,34,15,21.9,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/23/25,7.16,0,0,1.2,32,44,25,17,23.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/24/25,11.86,0,0,0,43,53,38,21,33.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/25,5.37,0.02,0,0,47,54,36,15,19.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/25,8.05,0.08,0,0,42,51,36,17,25.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/25,10.51,0.01,0,0,42,50,36,25.9,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/25,18.12,0,0,0,44,57,34,35.1,50.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
